
  0%|                                                                                                            | 0/938 [00:00<?, ?it/s]
Loss=2.3217525482177734 Batch_id=0 Accuracy=14.06:   0%|                                                         | 0/938 [00:00<?, ?it/s]
Loss=2.3217525482177734 Batch_id=0 Accuracy=14.06:   0%|                                                 | 1/938 [00:00<02:46,  5.62it/s]
Loss=2.3415017127990723 Batch_id=1 Accuracy=7.81:   0%|                                                  | 1/938 [00:00<02:46,  5.62it/s]
Loss=2.305455207824707 Batch_id=2 Accuracy=7.81:   0%|                                                   | 1/938 [00:00<02:46,  5.62it/s]
Loss=2.305455207824707 Batch_id=2 Accuracy=7.81:   0%|1                                                  | 3/938 [00:00<01:27, 10.64it/s]
Loss=2.2925212383270264 Batch_id=3 Accuracy=7.03:   0%|1                                                 | 3/938 [00:00<01:27, 10.64it/s]
Loss=2.2962560653686523 Batch_id=4 Accuracy=7.50:   0%|1                                                 | 3/938 [00:00<01:27, 10.64it/s]
Loss=2.2391018867492676 Batch_id=5 Accuracy=9.11:   0%|1                                                 | 3/938 [00:00<01:27, 10.64it/s]
Loss=2.218893051147461 Batch_id=6 Accuracy=10.27:   0%|1                                                 | 3/938 [00:00<01:27, 10.64it/s]
Loss=2.218893051147461 Batch_id=6 Accuracy=10.27:   1%|3                                                 | 7/938 [00:00<00:47, 19.41it/s]
Loss=2.259343385696411 Batch_id=7 Accuracy=10.55:   1%|3                                                 | 7/938 [00:00<00:47, 19.41it/s]
Loss=2.1621954441070557 Batch_id=8 Accuracy=12.50:   1%|3                                                | 7/938 [00:00<00:47, 19.41it/s]
Loss=2.1726109981536865 Batch_id=9 Accuracy=14.38:   1%|3                                                | 7/938 [00:00<00:47, 19.41it/s]
Loss=2.1517586708068848 Batch_id=10 Accuracy=15.34:   1%|3                                               | 7/938 [00:00<00:47, 19.41it/s]
Loss=2.1517586708068848 Batch_id=10 Accuracy=15.34:   1%|5                                              | 11/938 [00:00<00:42, 21.86it/s]
